Name,Type,State,City,Zip,Region,isPublic,Institution_Control,Photo,Rank,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb
Mississippi College,national-universities,MS,Clinton,39058,N/A,True,private,https://www.usnews.com/dims4/USNEWS/793e3d2/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fbf%2F83eb2778f5405f2dc601a5006f502d%2Fapril2019_517.jpg,359,19,N/A,49,23500,N/A,< 2.0,N/A,2724,< 2.0,N/A,N/A,N/A,19-25,"Mississippi College is a private institution that was founded in 1826. It has a total undergraduate enrollment of 2,724 (fall 2023), its setting is suburban, and the campus size is 140 acres. It utilizes a semester-based academic calendar. Mississippi College's ranking in the 2025 edition of Best Colleges is National Universities, #359. Its tuition and fees are $23,500."
Mississippi State University,national-universities,MS,Mississippi State,39762,N/A,True,public,https://www.usnews.com/dims4/USNEWS/bd7f799/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F7f%2F61f2e669e17f1fa5b20f30cbb1e9ae%2Fcollege-photo_8631.jpg,214,21,16,76,27637,3.6,2.6,N/A,18230,2.9,1110,40467.0,1110-1410,21-29,"Mississippi State University is a public institution that was founded in 1878. It has a total undergraduate enrollment of 18,230 (fall 2023), its setting is rural, and the campus size is 4,200 acres. It utilizes a semester-based academic calendar. Mississippi State University's ranking in the 2025 edition of Best Colleges is National Universities, #214. Its in-state tuition and fees are $10,202; out-of-state tuition and fees are $27,637."
Mississippi University for Women,regional-universities-south,MS,Columbus,39701,south,True,public,https://www.usnews.com/dims4/USNEWS/b9f83f0/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F4f%2F9e74ecee99c81ff7a600981712e65e%2Fcollege-photo_6362.jpg,34,18,38,100,8492,3.5,N/A,N/A,1995,N/A,N/A,17575.0,N/A,18-23,"Mississippi University for Women is a public institution that was founded in 1884. It has a total undergraduate enrollment of 1,995 (fall 2023), its setting is rural, and the campus size is 114 acres. It utilizes a semester-based academic calendar. Mississippi University for Women's ranking in the 2025 edition of Best Colleges is Regional Universities South, #34. Its in-state tuition and fees are $8,492; out-of-state tuition and fees are $8,492."
Mississippi Valley State University,regional-universities-south,MS,Itta Bena,38941,south,True,public,N/A,118,13,N/A,65,N/A,N/A,N/A,N/A,1654,N/A,N/A,N/A,N/A,13-18,"Mississippi Valley State University is a public institution that was founded in 1950. It has a total undergraduate enrollment of 1,654 (fall 2022), and the campus size is 450 acres.  Mississippi Valley State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #118. "
Missouri Baptist University,regional-universities-midwest,MO,St. Louis,63141,midwest,True,private,N/A,-1,20,N/A,71,N/A,N/A,N/A,N/A,4549,N/A,1060,N/A,1060-1200,20-26,"Missouri Baptist University is a private institution that was founded in 1964. It has a total undergraduate enrollment of 4,549 (fall 2022), and the campus size is 65 acres.  Missouri Baptist University's ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #149-164. "
Missouri Southern State University,regional-universities-midwest,MO,Joplin,64801,midwest,True,public,https://www.usnews.com/dims4/USNEWS/a668219/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F05%2F7075f23c3660b0db6319cadcf2ee7f%2Fcollege-photo_16711.jpg,131,18,N/A,97,18300,3.4,N/A,N/A,3930,N/A,1000,N/A,1000-1170,18-24,"Missouri Southern State University is a public institution that was founded in 1937. It has a total undergraduate enrollment of 3,930 (fall 2023), its setting is city, and the campus size is 381 acres. It utilizes a semester-based academic calendar. Missouri Southern State University's ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #131. Its in-state tuition and fees are $9,600; out-of-state tuition and fees are $18,300."
Missouri State University,national-universities,MO,Springfield,65897,N/A,True,public,https://www.usnews.com/dims4/USNEWS/7ddb786/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fcc%2F7550f6a53dc41e8172cdeed719a408%2Fcollege-photo_4000.jpg,352,20,N/A,93,N/A,N/A,N/A,N/A,18419,2.3,973,N/A,973-1230,20-26,"Missouri State University is a public institution that was founded in 1906. It has a total undergraduate enrollment of 18,419 (fall 2022), and the campus size is 225 acres.  Missouri State University's ranking in the 2025 edition of Best Colleges is National Universities, #352. "
Missouri University of Science and Technology,national-universities,MO,Rolla,65409,N/A,True,public,https://www.usnews.com/dims4/USNEWS/fe5e9c6/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fa6%2Ffe16b681d1cb675b9101e02e54ca21%2Fcollege-photo_31627.jpg,196,25,N/A,73,33466,3.8,2.9,N/A,5510,2.2,1150,N/A,1150-1378,25-31,"Missouri University of Science and Technology is a public institution that was founded in 1870. It has a total undergraduate enrollment of 5,510 (fall 2023), and the campus size is 292 acres. It utilizes a semester-based academic calendar. Missouri University of Science and Technology's ranking in the 2025 edition of Best Colleges is National Universities, #196. Its in-state tuition and fees are $15,196; out-of-state tuition and fees are $33,466."
Missouri Valley College,regional-colleges-midwest,MO,Marshall,65340,midwest,True,private,N/A,71,16,N/A,61,N/A,N/A,N/A,N/A,1494,N/A,900,N/A,900-1130,16-20,"Missouri Valley College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 1,494 (fall 2022), and the campus size is 150 acres.  Missouri Valley College's ranking in the 2025 edition of Best Colleges is Regional Colleges Midwest, #71. "
Missouri Western State University,regional-universities-midwest,MO,St. Joseph,64507,midwest,True,public,https://www.usnews.com/dims4/USNEWS/283051a/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F10%2F3205046cad115cc8d7c654db655d76%2Fcollege-photo_23859.jpg,138,N/A,N/A,99,18870,3.1,N/A,N/A,3604,< 2.0,N/A,N/A,N/A,N/A,"Missouri Western State University is a public institution that was founded in 1915. It has a total undergraduate enrollment of 3,604 (fall 2023), its setting is suburban, and the campus size is 723 acres. It utilizes a semester-based academic calendar. Missouri Western State University's ranking in the 2025 edition of Best Colleges is Regional Universities Midwest, #138. Its in-state tuition and fees are $9,690; out-of-state tuition and fees are $18,870."
Mitchell College,regional-colleges-north,CT,New London,06320,north,True,private,N/A,30,N/A,N/A,77,N/A,N/A,N/A,N/A,539,N/A,N/A,N/A,N/A,N/A,"Mitchell College is a private institution.   Mitchell College's ranking in the 2025 edition of Best Colleges is Regional Colleges North, #30. "
Modesto Junior College,regional-colleges-west,CA,Modesto,95350,west,True,public,N/A,-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16224,N/A,N/A,N/A,N/A,N/A,Modesto Junior College is a public institution.    
Molloy University,regional-universities-north,NY,Rockville Centre,11571,north,True,private,https://www.usnews.com/dims4/USNEWS/6a777da/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F46%2F5b6ed2f8853075ab051d054b075893%2Fcollege-photo_8777.jpg,66,24,75,76,39790,3.7,N/A,N/A,3259,N/A,1080,39828.0,1080-1310,24-29,"Molloy University is a private institution that was founded in 1955. It has a total undergraduate enrollment of 3,259 (fall 2023), its setting is suburban, and the campus size is 30 acres. It utilizes a 4-1-4-based academic calendar. Molloy University's ranking in the 2025 edition of Best Colleges is Regional Universities North, #66. Its tuition and fees are $39,790."
Monmouth College,national-liberal-arts-colleges,IL,Monmouth,61462,N/A,True,private,https://www.usnews.com/dims4/USNEWS/88933a1/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fd1%2Fed9724918a86d1e2d7ad4242f0358c%2Fcollege-photo_33389.jpg,147,20,N/A,87,44922,3.5,N/A,N/A,727,N/A,1010,N/A,1010-1230,20-27,"Monmouth College is a private institution that was founded in 1853. It has a total undergraduate enrollment of 727 (fall 2023), and the campus size is 112 acres. It utilizes a semester-based academic calendar. Monmouth College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #147. Its tuition and fees are $44,922."
Monmouth University,regional-universities-north,NJ,West Long Branch,07764,north,True,private,https://www.usnews.com/dims4/USNEWS/1f7dc3d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fe6%2F59df35c904672cb0dd90598344ec45%2FCampus_WilsonHall_1400x600.jpg,15,24,57,90,46552,3.6,2.5,N/A,3842,2.2,1100,53356.0,1100-1270,24-28,"Monmouth University is a private institution that was founded in 1933. It has a total undergraduate enrollment of 3,842 (fall 2023), its setting is suburban, and the campus size is 170 acres. It utilizes a semester-based academic calendar. Monmouth University's ranking in the 2025 edition of Best Colleges is Regional Universities North, #15. Its tuition and fees are $46,552."
